What are the most important metadata fields for academic events (5 most important in your opinion (multiple choice answers)?,"
Organizers  
N = 3041
","
Organizers,% 
","
Scholars 
N =  3027
","
Scholars, %",Total             N = 6068,"Total, %",Chi-Square (?ý),P-Value,Significance Level,Chi-Square (?ý) contribution Organizers,Chi-Square (?ý) contribution Scholars
"Agreement with a national organization (foundation, association, corporation, etc.)",88,16.21,67,9.22,155,12.20,2.845,? 0.05,Not significant,,
Own initiative (if the work is performed on one's own initiative at the expense of the event organizer or free of charge ,52,9.58,90,12.38,142,11.18,10.169,? 0.001,Significant,,
Agreement (order  with the central executive authority and the Academy of Sciences (the main spending units for the event) ,195,35.91,267,36.73,462,36.38,11.221,<0.0001,Highly significant,,
"Free of charge (agreement on scientific and technical cooperation, etc.)",82,15.10,221,30.40,303,23.86,63.766,<0.0001,Highly significant,,
Agreement with a global customer,63,11.60,32,4.40,95,7.48,10.116,? 0.001,Significant,,
Hard to answer,51,9.39,40,5.50,91,7.17,1.33,? 0.05,Not significant,,
,,,,,,,,,,,
,,,,,,,,,,,
What persistent identifiers (PIDs should be considered in the field of scientific activities (multiple choice answers)?,"Organizers
N = 1544","
Organizers,% 
","Scholars
 N = 1687 ","
Scholars, %",Total         N = 3231 ,"Total, %",Chi-Square (?ý),P-Value,Significance Level,,
ORCID (Open Researcher and Contributor iD) ,470,30.44,620,36.75,1090,33.74,20.642, ? 0.001,Highly significant,,
ResearcherID | Web of Science,287,18.59,287,17.01,574,17.77,0,? 0.05,Not significant,,
DOI (Digital Object Identifier System) ,464,30.05,37,2.19,501,15.51,363.93,<0.0001,Highly significant,,
ISSN (International Standard Serial Number) ,139,9.00,335,19.86,474,14.67,81.046,<0.0001,Highly significant,,
ISBN (International ISBN Agency ),117,7.58,317,18.79,434,13.43,92.166,<0.0001,Highly significant,,
ROR (Research Organization Registry) ,11,0.71,41,2.43,52,1.61,17.308, ? 0.001,Highly significant,,
URN,23,1.49,17,1.01,40,1.24,0.9,? 0.05,Not significant,,
PMID (PubMed Identifier),22,1.42,15,0.89,37,1.15,1.324,? 0.05,Not significant,,
GDPR (General Data Protection Regulation) ,11,0.71,18,1.07,29,0.90,1.69,? 0.05,Not significant,,
,,,,,,,,,,,
,,,,,,,,,,,
What methods or tools for collecting and analyzing academic event metadata do you prefer?,"Organizers 
N = 543","
Organizers,% 
","
Scholars 
N = 727","
Scholars, %",Total        N = 1270 ,"Total, %",Chi-Square (?ý),P-Value,Significance Level,,
Manual entry,111,20.44,61,8.39,172,13.54,643.982,<0.0001,Highly significant,,
Use of specialized software products,260,47.88,350,48.14,610,48.03,6696.182,<0.0001,Highly significant,,
Automated data collection,50,9.21,129,17.74,179,14.09,561.595,<0.0001,Highly significant,,
Combination of several methods,78,14.36,158,21.73,236,18.58,701.621,<0.0001,Highly significant,,
Other,44,8.10,29,3.99,73,5.75,725.767,<0.0001,Highly significant,,
,,,,,,,,,,,
